MIRNA	GENES	REGION	TARGETG_CHR
hsa-miR-30c-5p	CCNT2	UTR3	chr2
hsa-miR-194-5p	CCNT2	UTR3	chr2
hsa-miR-425-5p	CCNT2	UTR3	chr2
hsa-miR-423-3p	CCNT2	UTR3	chr2
hsa-miR-4251	RAB3GAP1	exonic,intronic,splicing	chr2
hsa-miR-27a-3p	UBXN4	exonic,intronic,splicing	chr2
hsa-miR-25-3p	UBXN4	UTR3	chr2
hsa-miR-30c-5p	AC097721.2	ncRNA_intronic	chr2
hsa-miR-21-3p	AC097721.2	ncRNA_intronic	chr2
hsa-miR-324-5p	AC092620.2	ncRNA_intronic	chr2
hsa-miR-30e-3p	AC092620.2	ncRNA_intronic	chr2
hsa-miR-17-3p	AC092620.2	ncRNA_intronic	chr2
hsa-miR-21-5p	AC073928.2,LRP1B	intergenic	chr2
hsa-miR-23a-3p	MBD5	intronic	chr2
hsa-miR-146a-5p	MBD5	intronic	chr2
hsa-miR-19a-3p	EPC2	intronic	chr2
hsa-miR-106b-5p	KIF5C	UTR3	chr2
hsa-miR-17-5p	KIF5C	UTR3	chr2
hsa-miR-106b-5p	MMADHC	UTR3	chr2
hsa-miR-92a-3p	MMADHC	exonic	chr2
hsa-miR-92a-3p	AC144449.1	ncRNA_intronic	chr2
hsa-miR-15a-5p	RIF1	exonic	chr2
hsa-miR-421	RIF1	exonic	chr2
hsa-miR-92a-3p	RIF1	exonic	chr2
hsa-miR-181b-5p	RIF1	exonic	chr2
hsa-miR-19a-3p	RIF1	exonic,splicing	chr2
hsa-miR-96-5p	STAM2	UTR3	chr2
hsa-miR-17-5p	FMNL2	intronic	chr2
hsa-miR-106b-5p	FMNL2	intronic	chr2
hsa-miR-365a-3p	PRPF40A	UTR3	chr2
hsa-let-7a-5p	ARL6IP6	UTR3	chr2
hsa-miR-26b-5p	AC012501.2,GALNT13	intergenic	chr2
hsa-miR-26a-5p	AC012501.2,GALNT13	intergenic	chr2
hsa-miR-320c	RNU6-1001P,RNU6-546P	intergenic	chr2
hsa-miR-320a	RNU6-1001P,RNU6-546P	intergenic	chr2
hsa-miR-652-5p	AC093375.1,NR4A2	intergenic	chr2
hsa-miR-18a-5p	AC093375.1,NR4A2	intergenic	chr2
hsa-miR-93-5p	NR4A2	UTR3	chr2
hsa-miR-140-3p	NR4A2,snoU13	intergenic	chr2
hsa-miR-186-5p	GPD2	UTR3	chr2
hsa-miR-92a-3p	UPP2	intronic	chr2
hsa-miR-17-5p	PKP4	intronic	chr2
hsa-miR-20a-5p	PKP4	intronic	chr2
hsa-miR-455-3p	PKP4	intronic	chr2
hsa-let-7a-5p	PKP4	exonic	chr2
hsa-miR-18a-3p	PKP4	exonic	chr2
hsa-miR-25-3p	PKP4	exonic	chr2
hsa-miR-101-3p	PKP4	exonic	chr2
hsa-miR-10a-5p	PKP4	exonic	chr2
hsa-miR-10b-5p	PKP4	exonic	chr2
hsa-miR-769-5p	AC005042.4,PKP4	exonic,ncRNA_intronic	chr2
hsa-miR-186-5p	AC005042.4,PKP4	exonic,ncRNA_intronic	chr2
hsa-miR-19a-3p	TANC1	UTR3	chr2
hsa-miR-93-5p	TANC1	UTR3	chr2
hsa-miR-20a-5p	TANC1	UTR3	chr2
hsa-miR-23a-3p	BAZ2B	UTR3	chr2
hsa-miR-122-5p	BAZ2B	exonic	chr2
hsa-miR-190a	MARCH7	exonic,intronic,splicing	chr2
hsa-miR-20a-5p	MARCH7	exonic,intronic,splicing	chr2
hsa-miR-23a-3p	CD302	UTR3	chr2
hsa-miR-23b-3p	CD302	UTR3	chr2
hsa-miR-93-5p	TANK	intronic	chr2
hsa-miR-17-5p	TANK	intronic	chr2
hsa-miR-18a-5p	PSMD14	intronic	chr2
hsa-miR-21-5p	PSMD14	exonic,intronic,splicing	chr2
hsa-miR-15b-5p	IFIH1	exonic	chr2
hsa-miR-424-5p	IFIH1	exonic	chr2
hsa-miR-23a-3p	FIGN	UTR3	chr2
hsa-miR-93-5p	COBLL1	UTR3,exonic	chr2
hsa-miR-17-5p	COBLL1	UTR3,exonic	chr2
hsa-miR-27a-3p	COBLL1	intronic	chr2
hsa-miR-17-5p	COBLL1	intronic	chr2
hsa-miR-30b-5p	GALNT3	UTR3	chr2
hsa-miR-17-5p	CERS6	UTR3	chr2
hsa-let-7e-5p	PPIG	exonic	chr2
hsa-miR-122-5p	PPIG	exonic	chr2
hsa-miR-200b-3p	PPIG	UTR3	chr2
hsa-miR-23a-3p	UBR3	exonic,splicing	chr2
hsa-miR-20a-5p	UBR3	exonic,intronic,splicing	chr2
hsa-miR-191-5p	GORASP2	exonic,intronic,splicing	chr2
hsa-let-7a-5p	GORASP2	exonic	chr2
hsa-let-7c-5p	GORASP2	exonic	chr2
hsa-miR-877-5p	GORASP2	exonic	chr2
hsa-miR-320a	GORASP2	exonic	chr2
hsa-miR-106b-5p	GORASP2	UTR3,exonic	chr2
hsa-miR-24-3p	GORASP2	UTR3,exonic	chr2
hsa-miR-503	GORASP2	UTR3	chr2
hsa-miR-19a-3p	GORASP2	UTR3	chr2
hsa-miR-16-5p	TLK1	UTR3	chr2
hsa-miR-210	CYBRD1,DCAF17	intergenic	chr2
hsa-miR-320c	CYBRD1,DCAF17	intergenic	chr2
hsa-miR-320a	CYBRD1,DCAF17	intergenic	chr2
hsa-miR-365a-3p	SP3	UTR3	chr2
hsa-miR-1301-3p	CHN1	UTR3	chr2
hsa-miR-15a-5p	ATF2	exonic	chr2
hsa-miR-26a-5p	ATP5G3	exonic	chr2
hsa-miR-194-5p	ATP5G3	exonic	chr2
hsa-miR-877-5p	ATP5G3	UTR5,exonic	chr2
hsa-miR-744-5p	ATP5G3	UTR5,exonic	chr2
hsa-miR-17-5p	AC016751.3,AC096649.3	intergenic	chr2
hsa-miR-93-5p	AC016751.3,AC096649.3	intergenic	chr2
hsa-miR-1260b	HOXD13	UTR3	chr2
hsa-miR-423-3p	HOXD13	UTR3	chr2
hsa-miR-149-5p	HOXD13	UTR3	chr2
hsa-miR-16-5p	HOXD13	UTR3	chr2
hsa-miR-505-3p	HNRNPA3	exonic	chr2
hsa-miR-1260b	HNRNPA3	exonic	chr2
hsa-miR-1229-3p	HNRNPA3	exonic	chr2
hsa-miR-16-5p	NFE2L2	UTR3	chr2
hsa-miR-103a-3p	NFE2L2	UTR3	chr2
hsa-miR-27a-3p	NFE2L2	UTR3	chr2
hsa-miR-18a-5p	NFE2L2	exonic	chr2
hsa-miR-106b-3p	NFE2L2	exonic	chr2
hsa-miR-26b-5p	TTN	exonic	chr2
hsa-miR-26a-5p	TTN	exonic	chr2
hsa-miR-454-3p	CWC22	UTR3	chr2
hsa-miR-320a	AC009478.1,UBE2E3	intergenic	chr2
hsa-miR-148a-3p	SSFA2	UTR3	chr2
hsa-miR-132-3p	NCKAP1	UTR3,exonic	chr2
hsa-miR-18b-5p	NCKAP1	UTR3,exonic	chr2
hsa-miR-93-5p	NCKAP1	exonic,intronic,splicing	chr2
hsa-miR-19a-3p	NCKAP1	exonic,intronic,splicing	chr2
hsa-miR-320a	NCKAP1	exonic	chr2
hsa-miR-192-5p	AC018867.1,ZC3H15	exonic,intronic,splicing	chr2
hsa-miR-18a-5p	ITGAV,ZC3H15	intergenic	chr2
hsa-miR-17-5p	AC007319.1	ncRNA_intronic	chr2
hsa-miR-93-5p	AC007319.1	ncRNA_intronic	chr2
hsa-miR-26a-5p	AC007319.1	ncRNA_intronic	chr2
hsa-miR-26b-5p	AC007319.1	ncRNA_intronic	chr2
hsa-miR-186-5p	AC007319.1	ncRNA_intronic	chr2
hsa-miR-18a-5p	AC007319.1	ncRNA_intronic	chr2
hsa-miR-24-3p	TFPI	exonic	chr2
hsa-miR-17-5p	TFPI	exonic	chr2
hsa-miR-374a-5p	GULP1	UTR3	chr2
hsa-miR-29b-3p	COL5A2	UTR3	chr2
hsa-miR-29a-3p	COL5A2	UTR3	chr2
hsa-miR-196a-5p	COL5A2	UTR3	chr2
hsa-miR-26a-5p	SLC40A1	UTR3	chr2
hsa-miR-93-5p	SLC40A1	UTR3	chr2
hsa-miR-17-5p	SLC40A1	UTR3	chr2
hsa-miR-20a-5p	SLC40A1	UTR3	chr2
hsa-miR-365a-3p	SLC40A1	exonic,splicing	chr2
hsa-miR-103a-3p	SLC40A1	exonic,splicing	chr2
hsa-miR-15a-5p	ASNSD1	exonic	chr2
hsa-miR-100-5p	ORMDL1	UTR3	chr2
hsa-miR-99a-5p	ORMDL1	UTR3	chr2
hsa-miR-181b-5p	PMS1	exonic	chr2
hsa-miR-92a-3p	AC008122.1,NONE	intergenic	chr2
hsa-miR-320e	INPP1	intronic	chr2
hsa-miR-320a	INPP1	intronic	chr2
hsa-miR-222-3p	MFSD6	intronic	chr2
hsa-miR-30c-5p	MFSD6	intronic	chr2
hsa-miR-19a-3p	MFSD6	UTR3	chr2
hsa-miR-96-5p	AC093388.3	ncRNA_intronic	chr2
hsa-miR-15b-5p	AC093388.3	ncRNA_intronic	chr2
hsa-miR-92a-3p	NAB1	exonic	chr2
hsa-miR-15b-5p	NAB1	exonic	chr2
hsa-miR-15a-5p	NAB1	exonic	chr2
hsa-miR-23a-3p	GLS	UTR3	chr2
hsa-miR-320a	GLS	UTR3	chr2
hsa-miR-26a-5p	NABP1	UTR3,exonic	chr2
hsa-miR-17-5p	STK17B	UTR3,exonic	chr2
hsa-miR-30a-5p	AC010746.3,SF3B1	intergenic	chr2
hsa-miR-27a-3p	AC010746.3,SF3B1	intergenic	chr2
hsa-miR-423-3p	SF3B1	exonic	chr2
hsa-miR-92a-3p	SF3B1	exonic,intronic,splicing	chr2
hsa-miR-92a-3p	SF3B1	exonic	chr2
hsa-miR-27a-3p	SF3B1	exonic,intronic,splicing	chr2
hsa-let-7b-5p	SF3B1	exonic	chr2
hsa-miR-615-3p	SF3B1	exonic	chr2
hsa-miR-296-5p	HSPD1	exonic	chr2
hsa-miR-324-5p	HSPD1	exonic	chr2
hsa-miR-501-5p	HSPD1	exonic,splicing	chr2
hsa-miR-744-5p	HSPD1	exonic,splicing	chr2
hsa-miR-744-5p	HSPD1	UTR5	chr2
hsa-miR-16-5p	HSPE1,HSPE1-MOB4	exonic	chr2
hsa-miR-186-5p	HSPE1	UTR3	chr2
hsa-miR-148a-3p	SATB2	UTR3	chr2
hsa-miR-1269a	SATB2	UTR3	chr2
hsa-miR-320a	SATB2	exonic	chr2
hsa-miR-320b	SATB2	exonic	chr2
hsa-miR-454-3p	C2orf69	exonic	chr2
hsa-miR-181a-5p	C2orf69	UTR3,downstream	chr2
hsa-miR-181b-5p	C2orf69	UTR3,downstream	chr2
hsa-miR-532-5p	TYW5	UTR3,exonic	chr2
hsa-miR-17-5p	SPATS2L	intronic	chr2
hsa-miR-93-5p	SPATS2L	intronic	chr2
hsa-miR-25-3p	BZW1	exonic	chr2
hsa-miR-1260b	BZW1	UTR3	chr2
hsa-miR-27a-3p	CLK1	exonic	chr2
hsa-miR-186-5p	CLK1	exonic	chr2
hsa-miR-26a-5p	ORC2	UTR3	chr2
hsa-miR-877-5p	ORC2	UTR3	chr2
hsa-miR-21-5p	AC005037.3	ncRNA_intronic	chr2
hsa-miR-186-5p	AC005037.3	ncRNA_intronic	chr2
hsa-miR-222-3p	AC005037.3	ncRNA_intronic	chr2
hsa-miR-26a-5p	CFLAR	exonic	chr2
hsa-miR-320e	STRADB	intronic	chr2
hsa-miR-320c	STRADB	intronic	chr2
hsa-miR-320a	STRADB	intronic	chr2
hsa-miR-92a-3p	NOP58	exonic,intronic,splicing	chr2
hsa-miR-194-5p	NOP58	exonic,intronic,splicing	chr2
hsa-miR-483-3p	BMPR2	exonic	chr2
hsa-miR-26b-5p	FAM117B	UTR3	chr2
hsa-miR-374a-5p	ABI2,RAPH1	UTR3	chr2
hsa-miR-185-5p	ABI2,RAPH1	UTR3	chr2
hsa-miR-17-5p	RAPH1	exonic	chr2
hsa-miR-186-5p	RAPH1	exonic	chr2
hsa-miR-183-5p	CD28,RAPH1	intergenic	chr2
hsa-miR-92a-3p	AC007679.3	ncRNA_intronic	chr2
hsa-miR-629-5p	INO80D	exonic	chr2
hsa-miR-30b-5p	EEF1B2,SNORD51	intronic,ncRNA_exonic	chr2
hsa-miR-378a-3p	EEF1B2	exonic	chr2
hsa-miR-149-5p	EEF1B2	exonic	chr2
hsa-miR-182-5p	CREB1	UTR3	chr2
hsa-miR-92a-3p	CREB1	UTR3	chr2
hsa-miR-15a-5p	RP11-801F7.1	ncRNA_exonic	chr2
hsa-miR-100-5p	RP11-801F7.1	ncRNA_exonic	chr2
hsa-miR-130b-3p	CCNYL1	intronic	chr2
hsa-miR-320a	CCNYL1	intronic	chr2
hsa-miR-149-5p	FZD5	UTR3	chr2
hsa-miR-874	FZD5	UTR3	chr2
hsa-miR-186-5p	FZD5	UTR3	chr2
hsa-miR-23a-3p	FZD5	UTR3	chr2
hsa-miR-196a-5p	IDH1	UTR3	chr2
hsa-miR-320a	IDH1	UTR3	chr2
hsa-miR-92a-3p	IDH1	UTR3	chr2
hsa-miR-1226-3p	IDH1	UTR3	chr2
hsa-miR-374a-5p	IDH1	UTR3	chr2
hsa-miR-19a-3p	IDH1	UTR3	chr2
hsa-miR-192-5p	IDH1	exonic,intronic,splicing	chr2
hsa-miR-320a	IDH1	exonic,intronic,splicing	chr2
hsa-miR-324-3p	PIKFYVE	UTR3	chr2
hsa-miR-100-5p	PIKFYVE	UTR3	chr2
hsa-miR-17-5p	KANSL1L	intronic	chr2
hsa-miR-20a-5p	KANSL1L	exonic	chr2
hsa-miR-374a-5p	ERBB4	intronic	chr2
hsa-miR-192-5p	ATIC	exonic,intronic,splicing	chr2
hsa-miR-1180-3p	ATIC	exonic,intronic,splicing	chr2
hsa-miR-30b-5p	FN1	UTR3	chr2
hsa-miR-193b-3p	FN1	UTR3	chr2
hsa-miR-615-3p	FN1	exonic	chr2
hsa-miR-17-5p	FN1	exonic,intronic,splicing	chr2
hsa-miR-30a-5p	FN1	exonic,intronic,splicing	chr2
hsa-miR-21-5p	FN1	exonic	chr2
hsa-miR-423-3p	FN1	exonic	chr2
hsa-miR-374a-5p	XRCC5	exonic	chr2
hsa-miR-484	XRCC5	exonic	chr2
hsa-miR-26b-5p	XRCC5	exonic	chr2
hsa-miR-17-5p	AC098820.3	ncRNA_intronic	chr2
hsa-miR-99a-5p	RPL37A	exonic,intronic,splicing	chr2
hsa-miR-23a-3p	RPL37A	exonic,intronic,splicing	chr2
hsa-miR-1269a	RPL37A	exonic,intronic,splicing	chr2
hsa-miR-93-5p	RPL37A	exonic,intronic,splicing	chr2
hsa-miR-31-5p	RPL37A	exonic,intronic,splicing	chr2
hsa-miR-106b-3p	RPL37A	exonic,intronic,splicing	chr2
hsa-miR-31-5p	RPL37A	exonic	chr2
hsa-miR-106b-3p	RPL37A	exonic	chr2
hsa-miR-766-3p	RPL37A	exonic	chr2
hsa-miR-615-3p	RPL37A	exonic	chr2
hsa-miR-17-5p	RPL37A	UTR3	chr2
hsa-miR-93-5p	RPL37A	UTR3	chr2
hsa-miR-17-5p	AC007563.5	ncRNA_intronic	chr2
hsa-miR-149-5p	ARPC2	exonic	chr2
hsa-miR-92a-3p	ARPC2	exonic,intronic,splicing	chr2
hsa-miR-20a-5p	ARPC2	exonic,intronic,splicing	chr2
hsa-miR-93-5p	ARPC2	exonic,intronic,splicing	chr2
hsa-miR-17-5p	ARPC2	exonic,intronic,splicing	chr2
hsa-miR-193b-3p	TMBIM1	UTR3	chr2
hsa-miR-30c-5p	AC021016.8	ncRNA_intronic	chr2
hsa-miR-125b-5p	CTDSP1	UTR3	chr2
hsa-let-7e-5p	USP37,VIL1	UTR3	chr2
hsa-miR-454-3p	USP37	exonic	chr2
hsa-miR-181d-5p	RQCD1	exonic	chr2
hsa-miR-181b-5p	RQCD1	exonic	chr2
hsa-miR-23a-3p	RQCD1	exonic,intronic,splicing	chr2
hsa-let-7a-5p	RQCD1	UTR3	chr2
hsa-miR-455-3p	RQCD1	UTR3,splicing	chr2
hsa-miR-23a-3p	RQCD1	UTR3,splicing	chr2
hsa-miR-744-5p	STK16	exonic	chr2
hsa-miR-93-5p	EPHA4	UTR3	chr2
hsa-miR-10b-5p	EPHA4	exonic	chr2
hsa-miR-10a-5p	EPHA4	exonic	chr2
hsa-miR-744-5p	FARSB	exonic	chr2
hsa-miR-193b-3p	FARSB	exonic	chr2
hsa-miR-26a-5p	ACSL3	UTR3	chr2
hsa-miR-26b-5p	ACSL3	UTR3	chr2
hsa-miR-27a-3p	ACSL3	UTR3	chr2
hsa-miR-26b-5p	WDFY1	intronic	chr2
hsa-miR-27a-3p	MRPL44	exonic	chr2
hsa-miR-19a-3p	CUL3	UTR3,exonic	chr2
hsa-miR-18a-3p	CUL3	exonic	chr2
hsa-miR-148b-3p	CUL3	exonic	chr2
hsa-miR-99a-5p	CUL3	exonic	chr2
hsa-miR-10a-5p	CUL3	exonic	chr2
hsa-miR-21-5p	AGFG1	exonic,intronic,splicing	chr2
hsa-miR-15b-5p	AGFG1	exonic	chr2
hsa-miR-18a-3p	AGFG1	exonic	chr2
hsa-miR-320a	AGFG1	exonic	chr2
hsa-miR-93-5p	AGFG1	UTR3	chr2
hsa-miR-19a-3p	CCL20	UTR3	chr2
hsa-miR-15a-5p	CCL20	UTR3	chr2
hsa-miR-320a	PID1	intronic	chr2
hsa-miR-454-3p	PID1	intronic	chr2
hsa-miR-196a-5p	PID1	intronic	chr2
hsa-miR-30a-5p	PID1	intronic	chr2
hsa-miR-4516	PID1	intronic	chr2
hsa-miR-103a-3p	PID1	intronic	chr2
hsa-miR-33a-5p	PID1	intronic	chr2
hsa-miR-532-5p	PID1	intronic	chr2
hsa-miR-362-3p	PID1	intronic	chr2
hsa-miR-186-5p	PID1	intronic	chr2
hsa-miR-27a-3p	PID1	intronic	chr2
hsa-miR-194-5p	PID1	intronic	chr2
hsa-miR-192-5p	PID1	intronic	chr2
hsa-miR-19a-3p	PID1	intronic	chr2
hsa-miR-615-3p	TRIP12	UTR3	chr2
hsa-miR-26a-5p	TRIP12	exonic	chr2
hsa-miR-26b-5p	TRIP12	exonic	chr2
hsa-miR-34a-5p	TRIP12	exonic	chr2
hsa-miR-130a-3p	TRIP12	exonic	chr2
hsa-miR-149-5p	TRIP12	exonic	chr2
hsa-miR-18a-3p	TRIP12	exonic	chr2
hsa-miR-92a-3p	TRIP12	exonic	chr2
hsa-miR-877-5p	CAB39	UTR3	chr2
hsa-miR-324-5p	ITM2C	UTR3	chr2
hsa-miR-16-5p	GPR55	UTR3	chr2
hsa-miR-92b-3p	GPR55	UTR3	chr2
hsa-miR-128-3p	C2orf72	UTR3	chr2
hsa-miR-885-5p	PSMD1	exonic,intronic,splicing	chr2
hsa-miR-130a-3p	HTR2B,PSMD1	intronic	chr2
hsa-miR-30a-5p	MIR4777	downstream	chr2
hsa-miR-19a-3p	MIR4777	downstream	chr2
hsa-miR-615-3p	NCL	exonic	chr2
hsa-miR-193b-3p	NCL	exonic	chr2
hsa-miR-320a	NCL	exonic	chr2
hsa-miR-194-5p	NCL,SNORD82	intronic,ncRNA_exonic	chr2
hsa-miR-128	NCL,SNORD82	intronic,ncRNA_exonic	chr2
hsa-miR-598-3p	NCL	exonic	chr2
hsa-miR-92b-3p	NCL	exonic	chr2
hsa-miR-744-5p	NCL	exonic	chr2
hsa-miR-221-3p	NCL	exonic	chr2
hsa-miR-197-3p	NCL	exonic	chr2
hsa-miR-877-3p	NCL	exonic	chr2
hsa-miR-296-3p	PTMA	UTR3	chr2
hsa-miR-760	PTMA	UTR3	chr2
hsa-miR-130b-5p	PTMA	UTR3	chr2
hsa-miR-744-5p	PTMA	UTR3	chr2
hsa-miR-615-3p	PTMA	UTR3	chr2
hsa-miR-378a-3p	PTMA	UTR3	chr2
hsa-miR-423-5p	PTMA	UTR3	chr2
hsa-miR-196a-5p	PDE6D	UTR3	chr2
hsa-miR-194-5p	COPS7B	UTR3	chr2
hsa-miR-320a	COPS7B	UTR3	chr2
hsa-miR-186-5p	COPS7B	UTR3	chr2
hsa-miR-378a-3p	EIF4E2,MIR5001,TIGD1	UTR5,ncRNA_exonic	chr2
hsa-miR-181b-5p	EIF4E2	exonic,intronic,splicing	chr2
hsa-miR-92a-3p	ATG16L1	UTR3	chr2
hsa-miR-365a-3p	USP40	UTR3	chr2
hsa-miR-20a-5p	HJURP	exonic	chr2
hsa-miR-320a	HJURP	intronic	chr2
hsa-miR-320e	HJURP	intronic	chr2
hsa-miR-92a-3p	TRAF3IP1	exonic	chr2
hsa-miR-25-3p	TRAF3IP1	exonic	chr2
hsa-miR-484	ASB1	UTR3	chr2
hsa-miR-374a-5p	ASB1	UTR3	chr2
hsa-miR-27a-3p	ASB1	UTR3	chr2
hsa-miR-20a-5p	HDAC4	UTR3	chr2
hsa-miR-19a-3p	HDAC4	UTR3	chr2
hsa-miR-19a-3p	NDUFA10	UTR3	chr2
hsa-miR-10a-5p	AQP12B	UTR5,exonic,splicing	chr2
hsa-miR-16-5p	AQP12B	UTR5,exonic,splicing	chr2
hsa-miR-17-5p	KIF1A	UTR3	chr2
hsa-miR-652-3p	KIF1A	exonic	chr2
hsa-miR-423-5p	KIF1A	exonic	chr2
hsa-miR-1301-3p	HDLBP	UTR3	chr2
hsa-miR-365a-3p	HDLBP	exonic	chr2
hsa-miR-484	HDLBP	exonic	chr2
hsa-miR-23a-3p	SEPT2	exonic	chr2
hsa-miR-194-5p	SEPT2	exonic,intronic,splicing	chr2
hsa-miR-130a-3p	AC005104.3	ncRNA_intronic	chr2
hsa-miR-122-5p	AC005104.3	ncRNA_intronic	chr2
hsa-miR-16-5p	AC005104.3	ncRNA_intronic	chr2
hsa-miR-15b-5p	AC005104.3	ncRNA_intronic	chr2
hsa-miR-29b-3p	AC005104.3	ncRNA_intronic	chr2
hsa-miR-15b-5p	SEPT2	UTR3	chr2
hsa-miR-21-5p	SEPT2	UTR3	chr2
hsa-miR-16-5p	SEPT2	UTR3	chr2
hsa-miR-106a-5p	SEPT2	UTR3	chr2
hsa-miR-17-5p	SEPT2	UTR3	chr2
hsa-miR-652-3p	SEPT2	UTR3	chr2
hsa-miR-744-5p	SEPT2	UTR3	chr2
hsa-miR-20a-5p	SEPT2	UTR3	chr2
hsa-miR-17-5p	SUMF1	intronic	chr3
hsa-miR-222-3p	SUMF1	intronic	chr3
hsa-miR-17-5p	SUMF1	UTR3	chr3
hsa-miR-30a-5p	ITPR1	intronic	chr3
hsa-miR-7-5p	ITPR1	intronic	chr3
hsa-miR-454-3p	BHLHE40	exonic,intronic,splicing	chr3
hsa-miR-192-5p	BHLHE40	exonic,intronic,splicing	chr3
hsa-miR-126-3p	BHLHE40	exonic	chr3
hsa-miR-320a	BHLHE40	exonic	chr3
hsa-miR-130a-3p	BHLHE40	exonic	chr3
hsa-miR-30c-5p	BHLHE40	UTR3	chr3
hsa-miR-374a-5p	AC026202.3	ncRNA_intronic	chr3
hsa-miR-4455	EDEM1	intronic	chr3
hsa-miR-574-5p	EDEM1	intronic	chr3
hsa-miR-100-5p	EDEM1	UTR3	chr3
hsa-miR-32-5p	EDEM1	UTR3	chr3
hsa-miR-19a-3p	AC069277.2	ncRNA_intronic	chr3
hsa-miR-320a	AC069277.2	ncRNA_intronic	chr3
hsa-miR-21-5p	AC069277.2	ncRNA_intronic	chr3
hsa-miR-101-3p	AC069277.2	ncRNA_exonic,ncRNA_intronic	chr3
hsa-miR-16-5p	AC069277.2	ncRNA_exonic,ncRNA_intronic	chr3
hsa-miR-186-5p	AC069277.2	ncRNA_exonic,ncRNA_intronic	chr3
hsa-miR-26b-5p	AC069277.2	ncRNA_intronic	chr3
hsa-miR-26a-5p	AC069277.2	ncRNA_intronic	chr3
hsa-miR-193b-3p	AC069277.2,GRM7-AS3	ncRNA_intronic	chr3
hsa-miR-186-5p	AC069277.2,GRM7-AS3	ncRNA_intronic	chr3
hsa-miR-125b-5p	THUMPD3	exonic	chr3
hsa-miR-615-3p	THUMPD3	exonic	chr3
hsa-miR-103a-3p	SETD5	exonic	chr3
hsa-miR-16-5p	SETD5	exonic	chr3
hsa-miR-1908	SETD5	exonic	chr3
hsa-miR-423-3p	SETD5	UTR3,exonic	chr3
hsa-miR-26a-5p	SETD5	UTR3,exonic	chr3
hsa-miR-374a-5p	SETD5	UTR3	chr3
hsa-miR-19b-3p	SETD5	UTR3	chr3
hsa-miR-877-3p	SETD5	UTR3	chr3
hsa-let-7e-5p	MTMR14	exonic	chr3
hsa-miR-92a-3p	MTMR14	exonic	chr3
hsa-miR-331-3p	BRPF1	exonic	chr3
hsa-miR-183-5p	BRPF1	exonic	chr3
hsa-miR-125a-5p	JAGN1	UTR3	chr3
hsa-miR-99b-5p	JAGN1	UTR3	chr3
hsa-miR-940	IL17RC	exonic	chr3
hsa-miR-1269a	AC034193.5	ncRNA_exonic	chr3
hsa-miR-769-5p	FANCD2	UTR3	chr3
hsa-miR-20a-5p	VHL	UTR3	chr3
hsa-miR-423-3p	SEC13	UTR3,exonic	chr3
hsa-miR-505-3p	SEC13	UTR3,exonic	chr3
hsa-miR-99a-5p	SEC13	exonic	chr3
hsa-miR-483-3p	ATP2B2	UTR3	chr3
hsa-miR-16-5p	ATP2B2	UTR3	chr3
hsa-miR-130a-3p	ATP2B2	UTR3	chr3
hsa-miR-19a-3p	ATP2B2	UTR3	chr3
hsa-miR-885-5p	ATP2B2,MIR885	intronic,ncRNA_exonic	chr3
hsa-let-7a-5p	ATG7,VGLL4	UTR3	chr3
hsa-miR-26a-5p	VGLL4	UTR3	chr3
hsa-let-7e-5p	VGLL4	UTR3	chr3
hsa-miR-130a-3p	PPARG	UTR3	chr3
hsa-miR-17-3p	TSEN2	UTR3	chr3
hsa-miR-378a-3p	TSEN2	UTR3	chr3
hsa-miR-1908	MKRN2	exonic	chr3
hsa-miR-186-5p	RAF1	UTR3	chr3
hsa-miR-194-5p	RAF1	UTR3	chr3
hsa-miR-194-5p	RAF1	exonic	chr3
hsa-miR-30a-5p	RAF1	exonic	chr3
hsa-miR-652-3p	RPL32	UTR3,exonic	chr3
hsa-miR-194-5p	RPL32	UTR3,exonic	chr3
hsa-miR-17-5p	IQSEC1	intronic	chr3
hsa-miR-15a-5p	IQSEC1	UTR3,intronic	chr3
hsa-miR-23a-3p	NUP210	UTR3	chr3
hsa-miR-423-3p	NUP210	UTR3	chr3
hsa-miR-93-5p	NUP210	exonic	chr3
hsa-miR-17-5p	NUP210	exonic	chr3
hsa-miR-92a-3p	TMEM43	UTR3	chr3
hsa-miR-3940-3p	TMEM43	UTR3	chr3
hsa-miR-128-3p	LSM3	exonic	chr3
hsa-miR-27a-3p	LSM3	exonic	chr3
hsa-miR-24-3p	SLC6A6	UTR3	chr3
hsa-miR-1269a	CCDC174	UTR3	chr3
hsa-miR-17-5p	NR2C2	intronic	chr3
hsa-miR-93-5p	NR2C2	intronic	chr3
hsa-miR-20a-5p	NR2C2	intronic	chr3
hsa-miR-33a-5p	MRPS25	UTR3	chr3
hsa-miR-483-3p	MRPS25,NR2C2	UTR3,exonic,splicing	chr3
hsa-miR-149-5p	MRPS25,NR2C2	UTR3,exonic,splicing	chr3
hsa-miR-222-3p	ZFYVE20	exonic	chr3
hsa-miR-20a-5p	EAF1	exonic,splicing	chr3
hsa-miR-19a-3p	EAF1-AS1	ncRNA_intronic	chr3
hsa-miR-320a	EAF1-AS1	ncRNA_intronic	chr3
hsa-miR-342-3p	EAF1-AS1	ncRNA_intronic	chr3
hsa-miR-574-5p	EAF1-AS1	ncRNA_intronic	chr3
hsa-miR-122-5p	HACL1	exonic	chr3
hsa-miR-204-5p	HACL1	exonic	chr3
hsa-miR-20a-5p	ANKRD28	exonic,intronic,splicing	chr3
